,title_rus,title_eng,edibility,divisio,classis,ordo,familia,genus,location,links,article_id
0,Агроцибе ранняя,Agrocybe praecox,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,ЮК ,../../articles.php?article_id=2162,2162
1,Альбатреллус тянь-шаньский,Albatrellus tianschanicus,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,ЮК ,../../articles.php?article_id=835,835
2,Антродия рядовая,Antrodia serialis,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Antrodia,ВК ,../../articles.php?article_id=2384,2384
3,Аскоболус навозный,Ascobolus stercorarius,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Ascobolus,ЮК ,../../articles.php?article_id=834,834
4,Аскокорине блюдцевидная,Ascocoryne cylichnium,Несъедобен,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Ascocoryne,ЮК ,../../articles.php?article_id=2146,2146
5,Аскокорине мясная,Ascocoryne sarcoides,Условносъедобен,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Ascocoryne,ЮК ,../../articles.php?article_id=894,894
6,Астерофора дождевиковая,Asterophora lycoperdoides,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Asterophora,СК ВК ,../../articles.php?article_id=2490,2490
7,Аурикулариопсис уховидный,Auriculariopsis ampla,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Auriculariopsis,ЮК ,../../articles.php?article_id=962,962
8,Аурискальпиум обыкновенный,Auriscalpium vulgare,Несъедобен,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Auriscalpium,ЮК ВК СК ,../../articles.php?article_id=2089,2089
9,Батарея веселковидная,Battarrea phalloides,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Battarrea,ЦК ЮК ,../../articles.php?article_id=2112,2112
10,Белосвинуха горькая,Leucopaxillus gentianeus,Условносъедобен,Basidiomycota,Basidiomycetes,Agaricales,Tricholomataceae,Leucopaxillus,ЮК ,../../articles.php?article_id=40,40
11,Белосвинуха розово-белая,Leucopaxillus rhodoleucus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Leucopaxillus,ЮК ,../../articles.php?article_id=2087,2087
12,Белошампиньон красношляпковый,Leucoagaricus rubrotinctus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,ЮК ,../../articles.php?article_id=837,837
13,Белый гриб настоящий,Boletus edulis,Съедобен,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,СК ВК ,../../articles.php?article_id=2533,2533
14,Белый гриб сетчатый,Boletus reticulatus,Съедобен,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Boletus,СК ВК ,../../articles.php?article_id=2531,2531
15,Белый гриб сосновый,Boletus pinophilus,Съедобен,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,СК ВК ,../../articles.php?article_id=1995,1995
16,Белый степной гриб,Pleurotus eryngii var. ferulae,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,ЮК ЦК ,../../articles.php?article_id=46,46
17,Биспорелла лимонная,Bisporella citrina,Условносъедобен,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,ЮК ,../../articles.php?article_id=732,732
18,Биссонектрия наземная,Byssonectria terrestris,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Byssonectria,ЮК ,../../articles.php?article_id=711,711
19,Блюдцевик жилковатый,Disciotis venosa,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Disciotis,ЮК ВК ,../../articles.php?article_id=2077,2077
20,Бокальчик Беркли,Cyathus berkeleyanus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,ЮК ЦК ,../../articles.php?article_id=2455,2455
21,Бокальчик гладкий,Crucibulum laeve,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Crucibulum,ЮК ЦК ВК СК ,../../articles.php?article_id=126,126
22,Бокальчик грязный,Cyathus stercoreus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,ЮК ,../../articles.php?article_id=1144,1144
23,Бокальчик Олла,Cyathus olla,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,ЮК ЦК ВК ,../../articles.php?article_id=1112,1112
24,Болетин азиатский,Boletinus asiaticus,Съедобен,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Boletinus,ВК ,../../articles.php?article_id=2469,2469
25,Больбитий золотистый,Bolbitius vitellinus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Bolbitius,,../../articles.php?article_id=2284,2284
26,Бьеркандера опаленная,Bjerkandera adusta,Несъедобен,Basidiomycota,Basidiomycetes,Polyporales,Meruliaceae,Bjerkandera,ЮК ,../../articles.php?article_id=155,155
27,Валуй,Russula foetens,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ВК СК ,../../articles.php?article_id=2317,2317
28,Веселка Адриана,Phallus hadriani,Несъедобен,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Phallus,ЮК ,../../articles.php?article_id=2120,2120
29,Веселка обыкновенная,Phallus impudicus,Съедобен,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Phallus,ЮК ,../../articles.php?article_id=106,106
30,Вешенка дубовая,Pleurotus dryinus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,ЮК ,../../articles.php?article_id=2462,2462
31,Вешенка обыкновенная,Pleurotus ostreatus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,ЮК ,../../articles.php?article_id=74,74
32,Вешенка покрытая,Pleurotus calyptratus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,СК ЮК ,../../articles.php?article_id=996,996
33,Вешенка рожковидная,Pleurotus cornucopiae,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,ВК ,../../articles.php?article_id=2439,2439
34,Вешенка устричная ивовая,Pleurotus ostreatus var. salignus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,ЮК ,../../articles.php?article_id=1101,1101
35,Винелла лесная,Wynnella silvicola,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Wynnella,ЮК ,../../articles.php?article_id=2500,2500
36,Волнушка белая,Lactarius pubescens,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,ЮК ВК СК ЗК ,../../articles.php?article_id=42,42
37,Волнушка розовая,Lactarius torminosus,Условносъедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,ВК СК ,../../articles.php?article_id=2350,2350
38,Волоконница беловатая,Inocybe leucoblema,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,ЮК ,../../articles.php?article_id=2521,2521
39,Волоконница земляная,Inocybe geophylla,Ядовит,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,ЮК ВК ,../../articles.php?article_id=2509,2509
40,Волоконница Патуйяра,Inocybe patouillardii,Смертельноядовит,Basidiomycota,Agaricomycetes,Cortinariales,Cortinariaceae,Inocybe,ЮК ,../../articles.php?article_id=57,57
41,Волоконница трещиноватая,Inocybe rimosa,Ядовит,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,ЮК ,../../articles.php?article_id=2520,2520
42,Вольвариелла красивая,Volvariella speciosa,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,ЮК ,../../articles.php?article_id=716,716
43,Вольвариелла маленькая,Volvariella pusilla,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,ЮК ,../../articles.php?article_id=795,795
44,Вольвариелла шелковистая,Volvariella bombycina,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=2227,2227
45,Вороночник рожковидный,Craterellus cornucopioides,Съедобен,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Craterellus,СК ,../../articles.php?article_id=2475,2475
46,Галерина сфагновая,Galerina sphagnorum,Несъедобен,Basidiomycota,Agaricomycetes,Cortinariales,Cortinariaceae,Galerina,ЮК ,../../articles.php?article_id=989,989
47,Галеропсис пустынный,Galeropsis desertorum,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Galeropsis,ЮК ,../../articles.php?article_id=617,617
48,Ганодерма блестящая,Ganoderma lucidum,Несъедобен,Basidiomycota,Basidiomycetes,Polyporales,Ganodermataceae,Ganoderma,ЮК ,../../articles.php?article_id=913,913
49,Гаутиерия горная,Gautieria monticola,Съедобен,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Gautieria,ЮК ,../../articles.php?article_id=2108,2108
50,Гебелома буросрединная,Hebeloma mesophaeum,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hebeloma,ЮК СК ВК ,../../articles.php?article_id=2441,2441
51,Гебелома клейкая,Hebeloma crustuliniforme,Несъедобен,Basidiomycota,Agaricomycetes,Cortinariales,Cortinariaceae,Hebeloma,ЮК ЦК СК ВК ЗК ,../../articles.php?article_id=2400,2400
52,Гебелома тополевая,Hebeloma populinum,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hebeloma,ЮК ,../../articles.php?article_id=2072,2072
53,Гельвелла белоножковая,Helvella leucopus,Условносъедобен,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,ЮК ,../../articles.php?article_id=702,702
54,Геопиксис угольный,Geopyxis carbonaria,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Geopyxis,ЮК ВК ,../../articles.php?article_id=814,814
55,Геопора листовидная,Geopora foliacea,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,ЮК ,../../articles.php?article_id=2066,2066
56,Геопора песчанная,Geopora arenicola,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,ЮК ,../../articles.php?article_id=777,777
57,Гигрофор душистый,Hygrophorus agathosmus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,СК ,../../articles.php?article_id=2457,2457
58,Гигрофор еловый,Hygrophorus piceae,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Hygrophorus,ЮК ,../../articles.php?article_id=1993,1993
59,Гигрофор луговой,Cuphophyllus pratensis,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Cuphophyllus,ЮК СК ,../../articles.php?article_id=992,992
60,Гигрофор пятнистый,Hygrophorus pustulatus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,ВК ,../../articles.php?article_id=2282,2282
61,Гигроцибе багряная,Hygrocybe coccinea,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,ЮК ,../../articles.php?article_id=876,876
62,Гигроцибе белоснежная,Hygrocybe virginea,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,ЮК ,../../articles.php?article_id=900,900
63,Гигроцибе жёлто-зелёная,Hygrocybe chlorophana,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,ЮК ,../../articles.php?article_id=694,694
64,Гигроцибе коническая,Hygrocybe conica,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,ЮК СК ВК ,../../articles.php?article_id=812,812
65,Гигроцибе матово-красная,Hygrocybe miniata,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,ЮК ,../../articles.php?article_id=902,902
66,Гигроцибе остроконическая,Hygrocybe persistens,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,ЮК СК ,../../articles.php?article_id=688,688
67,Гиднеллум голубой,Hydnellum caeruleum,Несъедобен,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Hydnellum,СК ,../../articles.php?article_id=2482,2482
68,Гиднеллум оранжевый,Hydnellum aurantiacum,Несъедобен,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Hydnellum,СК ,../../articles.php?article_id=2481,2481
69,Гиднеллум ржавчинный,Hydnellum ferrugineum,Несъедобен,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Hydnellum,СК ,../../articles.php?article_id=2351,2351
70,Гимнопил сосновый,Gymnopilus sapineus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Gymnopilus,СК ,../../articles.php?article_id=2459,2459
71,Гимнопус лесолюбивый,Gymnopus dryophilus,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,ЮК ,../../articles.php?article_id=687,687
72,Гипоксилон ломкий,Hypoxylon fragiforme,Несъедобен,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,ЮК ,../../articles.php?article_id=1986,1986
73,Гипоксилон многообразный,Hypoxylon multiforme,Несъедобен,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,ЮК ,../../articles.php?article_id=1994,1994
74,Гипомицес зеленый,Hypomyces viridis,Несъедобен,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,ВК СК ЗК ,../../articles.php?article_id=2389,2389
75,Гипомицес золотисто-споровый,Hypomyces chrysospermus,Съедобен,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,ЮК ВК СК ЗК ,../../articles.php?article_id=672,672
76,Гипомицес кирпично-красный,Hypomyces lateritus,Съедобен,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,ЮК ВК СК ЗК ,../../articles.php?article_id=85,85
77,Гипсизигус ильмовый,Hypsizygus ulmarius,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Hypsizygus,,../../articles.php?article_id=2431,2431
78,Гирофрагмиум Дунали,Gyrophragmium dunalii,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Gyrophragmium,ЮК ЗК ,../../articles.php?article_id=2034,2034
79,Глеофиллум заборный,Gloeophyllum sepiarium,Несъедобен,Basidiomycota,Basidiomycetes,Poriales,Coriolaceae,Gloeophyllum,ЮК ВК СК ЗК ,../../articles.php?article_id=816,816
80,Говорушка буро-желтая,Paralepista gilva,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Paralepista,СК ,../../articles.php?article_id=2526,2526
81,Говорушка ворончатая,Infundibulicybe gibba,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,ЮК ВК СК ,../../articles.php?article_id=2423,2423
82,Говорушка восковатая,Clitocybe cerussata,Ядовит,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,ЮК ,../../articles.php?article_id=707,707
83,Говорушка дымчатая,Clitocybe nebularis,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,СК ,../../articles.php?article_id=2392,2392
84,Говорушка красноватая,Clitocybe rivulosa,Смертельноядовит,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,ЮК ,../../articles.php?article_id=2450,2450
85,Говорушка перевернутая,Paralepista flaccida,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Paralepista,ЮК ,../../articles.php?article_id=2426,2426
86,Головач мешковатый,Calvatia utriformis,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Calvatia,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=691,691
87,Головач продолговатый,Calvatia excipuliformis,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Calvatia,ЮК ЦК ВК СК ,../../articles.php?article_id=690,690
88,Гриб-зонтик белый,Macrolepiota excoriata,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Macrolepiota,ЮК ,../../articles.php?article_id=132,132
89,Гриб-зонтик краснеющий,Macrolepiota rhacodes,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Macrolepiota,ЮК ,../../articles.php?article_id=2088,2088
90,Груздь настоящий,Lactarius resimus,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,ВК СК ,../../articles.php?article_id=2348,2348
91,Груздь осиновый,Lactarius controversus,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,ЮК СК ,../../articles.php?article_id=86,86
92,Груздь перечный,Lactarius piperatus,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,ЮК СК ВК ,../../articles.php?article_id=2529,2529
93,Груздь черный,Lactarius necator,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,ВК СК ЗК ,../../articles.php?article_id=464,464
94,Гумария полушаровидная,Humaria hemisphaerica,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Humaria,ЮК ,../../articles.php?article_id=815,815
95,Дакримицес исчезающий,Dacrymyces deliquescens,Несъедобен,Basidiomycota,Agaricomycetes,Dacrymycetales,Dacrymycetaceae,Dacrymyces,ЮК ,../../articles.php?article_id=757,757
96,Дальдиния концентрическая,Daldinia concentrica,Несъедобен,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Daldinia,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=2518,2518
97,Дедалеопсис бугристый,Daedaleopsis confragosa,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Daedaleopsis,,../../articles.php?article_id=471,471
98,Дедалеопсис трехцветный,Daedaleopsis tricolor,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,Daedaleopsis,ВК СК ,../../articles.php?article_id=797,797
99,Деликатула маленькая,Delicatula integrella,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Delicatula,ЮК ,../../articles.php?article_id=825,825
100,Диатрипе клейменная,Diatrype stigma,Несъедобен,Ascomycota,Ascomycetes,Xylariales,Diatrypaceae,Diatrype,ЮК ,../../articles.php?article_id=680,680
101,Дождевик грушевидный,Lycoperdon pyriforme,Съедобен,Basidiomycota,Agaricomycetes,Lycoperdales,Lycoperdaceae,Lycoperdon,ЮК ,../../articles.php?article_id=780,780
102,Дождевик желтоокрашенный,Lycoperdon flavotinctum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,ЮК ,../../articles.php?article_id=717,717
103,Дождевик Куртиса,Lycoperdon curtisii,Съедобен,Basidiomycota,Agaricomycetes,Lycoperdales,Lycoperdaceae,Lycoperdon,ЮК ,../../articles.php?article_id=775,775
104,Дождевик мягкий,Lycoperdon molle,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lycoperdon,ЮК ,../../articles.php?article_id=2029,2029
105,Дождевик настоящий,Lycoperdon perlatum,Съедобен,Basidiomycota,Agaricomycetes,Lycoperdales,Lycoperdaceae,Lycoperdon,ЮК ,../../articles.php?article_id=91,91
106,Дождевик умбровый,Lycoperdon umbrinum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,ЮК ,../../articles.php?article_id=73,73
107,Дрожалка листоватая,Tremella foliacea,Съедобен,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,ЮК ,../../articles.php?article_id=958,958
108,Дрожалка можжевеловая,Gymnosporangium sabinae,Несъедобен,Basidiomycota,Urediniomycetes,Uredinales,Pucciniaceae,Gymnosporangium,ЮК ,../../articles.php?article_id=675,675
109,Дрожалка мозговая,Tremella encephala,Несъедобен,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,ЮК ,../../articles.php?article_id=961,961
